title,author,isbn,category,total_copies,available_copies,language,pages
L'assurance de rouler en toute tranquilité,Roger Le Brun,978-1-142-53178-2,Poésie,1,5,Espagnol,257
Le plaisir d'évoluer sans soucis,Léon Dupont de Dupont,978-1-08-806652-2,Science-Fiction,7,1,Italien,305
La possibilité d'atteindre vos buts autrement,Sébastien Morin,978-1-247-81383-7,Poésie,2,5,Allemand,561
Le droit d'avancer plus facilement,Alix Riou,978-0-12-480658-0,Histoire,10,1,Espagnol,449
Le confort de louer autrement,Aurore Nguyen,978-1-325-76189-0,Histoire,4,2,Allemand,145
Le pouvoir d'avancer à l'état pur,Stéphanie Le Laroche,978-1-4190-6007-6,Philosophie,4,6,Allemand,753
Le plaisir d'atteindre vos buts sans soucis,Guillaume Clément-Brunet,978-0-13-188242-3,Philosophie,2,2,Italien,561
La liberté d'innover avant-tout,Margaux Raymond,978-1-964878-52-2,Fantasy,7,10,Allemand,484
Le plaisir de rouler en toute tranquilité,Pierre Lopez-Lambert,978-0-7140-8455-8,Science-Fiction,5,9,Français,225
L'art d'innover à l'état pur,Olivier Paul-Lelièvre,978-0-7084-7364-1,Thriller,1,10,Italien,532
L'avantage de louer sans soucis,Margaud Fernandez,978-0-438-05101-0,Biographie,1,4,Espagnol,598
La possibilité de concrétiser vos projets autrement,Étienne-René Nicolas,978-0-8093-5482-5,Philosophie,5,3,Allemand,600
Le droit d'innover à l'état pur,Suzanne Lejeune-Charrier,978-0-18-678122-1,Roman,4,2,Français,540
Le plaisir d'innover avant-tout,Aimée-Sabine Perrier,978-1-85085-648-1,Programmation,9,3,Italien,500
L'art de concrétiser vos projets à la pointe,Georges Le Gall,978-0-9774074-9-1,Fantasy,4,10,Allemand,745
Le confort d'évoluer de manière efficace,Alexandria-Alexandrie Deschamps,978-0-332-60474-9,Programmation,8,4,Italien,487
Le droit d'évoluer naturellement,Alix Auger,978-1-251-28523-1,Philosophie,9,8,Espagnol,742
La possibilité de louer à l'état pur,Margot Martel,978-0-07-360817-4,Science-Fiction,1,4,Anglais,158
Le plaisir de rouler à sa source,Emmanuel De Oliveira,978-1-69674-376-1,Philosophie,10,2,Anglais,565
Le droit de concrétiser vos projets à sa source,Nicolas Salmon,978-0-439-88225-5,Thriller,5,10,Allemand,688
La liberté d'atteindre vos buts autrement,Chantal Bègue,978-0-513-12841-5,Fantasy,5,6,Espagnol,549
La possibilité d'évoluer plus facilement,Claire Lemaître,978-0-7362-1856-6,Thriller,10,1,Italien,163
La possibilité de rouler sans soucis,Charles Da Silva,978-1-931769-14-3,Programmation,4,1,Italien,112
La possibilité d'évoluer à l'état pur,Eugène-Léon Laurent,978-0-448-42728-7,Fantasy,9,7,Français,463
L'assurance d'innover à sa source,Émilie du Meunier,978-0-257-08085-7,Thriller,4,10,Français,781
L'art d'innover autrement,Raymond-Alain Briand,978-1-167-08278-8,Fiction,8,6,Français,436
L'assurance de louer sans soucis,Édith Chrétien,978-1-4938-6524-6,Fantasy,8,3,Anglais,370
Le droit d'atteindre vos buts de manière sûre,Dorothée Moreau-Ruiz,978-1-4904-5023-0,Philosophie,8,7,Allemand,638
Le droit de changer sans soucis,Alain Denis de la Giraud,978-1-5183-5742-8,Fiction,7,3,Français,734
L'art de changer naturellement,Victor Mercier,978-0-17-668292-7,Biographie,7,3,Anglais,90
L'assurance de rouler naturellement,Jeanne Allain-Chauvin,978-1-66091-106-6,Programmation,2,2,Français,162
L'avantage d'innover à la pointe,Xavier Boutin,978-1-09-294482-3,Histoire,2,9,Allemand,365
L'avantage d'innover en toute tranquilité,Bertrand Cordier,978-0-692-86221-6,Programmation,2,7,Italien,136
La possibilité de rouler de manière sûre,Noël de Marion,978-1-4374-4555-8,Roman,8,9,Espagnol,62
L'art de concrétiser vos projets en toute tranquilité,Brigitte-Louise Henry,978-1-914039-85-0,Philosophie,9,4,Français,411
La possibilité de changer sans soucis,Raymond Étienne Le Rodrigues,978-1-236-97988-9,Fiction,4,8,Anglais,742
Le confort de rouler avant-tout,Victor Leblanc,978-0-7360-1339-0,Fiction,7,5,Espagnol,675
Le droit d'innover à l'état pur,Marcelle Roger de la Joubert,978-0-315-42807-2,Programmation,10,6,Italien,579
Le plaisir d'évoluer de manière sûre,Xavier Leleu,978-0-19-788654-0,Roman,7,3,Italien,59
La possibilité de changer en toute tranquilité,François Martineau,978-0-675-08852-7,Histoire,10,1,Italien,739
Le plaisir de rouler sans soucis,Xavier-Michel Royer,978-0-409-91241-8,Thriller,1,6,Allemand,677
L'assurance de changer avant-tout,Roland Raynaud du Aubry,978-0-403-52148-7,Biographie,6,7,Français,667
L'avantage de concrétiser vos projets plus rapidement,Philippe Bonnin,978-1-102-94396-9,Programmation,2,5,Français,593
L'avantage de changer avant-tout,David Verdier,978-0-933069-75-6,Philosophie,3,9,Italien,128
L'assurance de changer à sa source,Yves Leclerc Le Lenoir,978-0-7405-5243-4,Philosophie,2,10,Français,369
L'art d'innover de manière sûre,Daniel Noël-Ferreira,978-0-608-68066-8,Fiction,6,10,Anglais,192
L'avantage de concrétiser vos projets à l'état pur,Jeannine Dumas,978-1-5242-1505-7,Programmation,8,4,Espagnol,678
La liberté d'évoluer de manière efficace,Élise Bonnet,978-1-203-39006-8,Poésie,7,9,Français,78
Le droit de concrétiser vos projets à la pointe,Marcel Letellier,978-0-517-42384-4,Histoire,4,6,Italien,538
L'assurance d'évoluer avant-tout,Sébastien Chartier,978-0-85112-202-1,Thriller,3,9,Français,508
L'avantage de changer de manière efficace,Geneviève Moreno,978-0-432-48264-3,Roman,8,6,Anglais,664
La possibilité de louer à la pointe,Geneviève-Zoé Roy,978-1-353-15533-3,Science-Fiction,8,1,Allemand,762
L'avantage de concrétiser vos projets sans soucis,Bertrand-Jean Adam,978-0-11-340840-5,Programmation,3,8,Espagnol,85
Le pouvoir d'évoluer sans soucis,Anaïs Le Fischer,978-0-9548763-7-1,Thriller,6,4,Allemand,616
L'assurance de rouler plus facilement,Sophie Seguin,978-1-4772-0518-1,Biographie,5,1,Italien,105
Le plaisir de rouler sans soucis,Édouard Ramos-Joubert,978-0-9769366-1-9,Thriller,4,2,Italien,221
Le pouvoir de changer plus facilement,Henriette Blin,978-0-86112-008-6,Fiction,3,2,Italien,367
Le plaisir d'atteindre vos buts en toute tranquilité,Guillaume-David Valette,978-1-08-128121-2,Histoire,10,8,Italien,365
L'assurance de rouler de manière sûre,Henri Boutin,978-1-75974-317-2,Roman,10,10,Allemand,483
L'art d'évoluer sans soucis,Joseph Baudry-Paris,978-0-7952-7521-0,Science-Fiction,5,2,Italien,788
Le pouvoir d'atteindre vos buts en toute tranquilité,David Delmas,978-0-7054-3507-9,Roman,7,9,Français,501
Le pouvoir d'évoluer plus rapidement,Philippe de Boyer,978-0-06-956230-5,Biographie,7,10,Espagnol,670
La liberté d'atteindre vos buts naturellement,Xavier Hubert,978-1-03-460043-5,Science-Fiction,7,3,Allemand,253
La liberté d'innover à l'état pur,André Bodin du Launay,978-0-636-43507-0,Fiction,7,9,Espagnol,546
Le plaisir de changer plus facilement,Mathilde Buisson-Dupuis,978-0-7263-6488-4,Biographie,9,2,Allemand,106
L'assurance d'innover autrement,Tristan Fernandez,978-0-387-48492-1,Programmation,5,2,Anglais,536
L'avantage d'avancer à l'état pur,Christophe Le Lesage,978-1-58630-923-7,Fiction,4,6,Anglais,292
Le droit d'innover autrement,Nath Bonnin,978-1-211-15384-6,Science-Fiction,1,6,Italien,751
Le droit de louer plus rapidement,Jérôme Courtois,978-0-431-69465-8,Roman,7,1,Allemand,633
Le plaisir de concrétiser vos projets à l'état pur,Corinne-Alix Albert,978-0-89083-251-6,Fantasy,8,3,Français,679
Le confort de rouler en toute tranquilité,Amélie Fabre de Gay,978-0-221-68642-9,Histoire,4,5,Italien,229
